product_id,product_name,category,price,currency,created_at
1,Street,fashion,119.71,EUR,2024-10-04
2,New,home,460.85,EUR,2024-07-30
3,General,home,339.85,EUR,2024-09-03
4,Understand,electronics,35.08,EUR,2025-12-24
5,Arm,home,458.97,EUR,2025-03-07
6,Father,sports,448.45,EUR,2025-05-02
7,Yourself,home,71.93,EUR,2025-11-08
8,Position,sports,378.31,EUR,2025-05-17
9,A,electronics,94.66,EUR,2024-09-28
10,Southern,books,294.35,EUR,2025-10-31
11,Believe,books,451.87,EUR,2025-12-22
12,Major,home,387.13,EUR,2026-01-06
13,A,home,159.93,EUR,2024-12-04
14,View,electronics,377.02,EUR,2024-07-30
15,Inside,sports,394.33,EUR,2024-03-21
16,Memory,electronics,291.84,EUR,2024-03-01
17,Almost,books,11.61,EUR,2024-12-22
18,Do,electronics,401.76,EUR,2024-03-07
19,Level,fashion,366.67,EUR,2024-04-27
20,President,sports,15.63,EUR,2024-09-27
21,Third,books,128.98,EUR,2025-10-25
22,Open,sports,232.52,EUR,2024-03-24
23,Quickly,books,234.11,EUR,2025-03-03
24,To,electronics,15.15,EUR,2024-04-11
25,Organization,home,322.1,EUR,2025-06-21
26,Inside,sports,414.6,EUR,2024-11-10
27,Cause,home,231.59,EUR,2024-07-21
28,Station,fashion,457.02,EUR,2025-09-26
29,Population,books,161.88,EUR,2025-05-30
30,Upon,fashion,477.26,EUR,2024-10-21
31,Just,electronics,168.85,EUR,2024-02-26
32,Later,fashion,476.21,EUR,2025-11-23
33,Able,electronics,181.54,EUR,2025-12-18
34,Choose,books,487.27,EUR,2024-05-17
35,Tree,books,121.36,EUR,2024-06-14
36,Drive,electronics,348.81,EUR,2024-10-04
37,What,home,436.86,EUR,2024-11-08
38,Perform,sports,64.24,EUR,2024-12-04
39,Action,electronics,84.08,EUR,2024-09-15
40,Young,electronics,52.48,EUR,2024-09-17
41,Return,electronics,63.95,EUR,2024-05-03
42,Tonight,books,492.14,EUR,2025-08-26
43,He,home,223.5,EUR,2025-05-13
44,Student,fashion,27.16,EUR,2025-07-02
45,Word,fashion,136.79,EUR,2024-10-21
46,Figure,sports,299.41,EUR,2026-01-16
47,Scientist,sports,77.07,EUR,2025-11-14
48,Into,fashion,397.16,EUR,2025-12-29
49,Rich,sports,178.9,EUR,2024-04-14
50,Movie,fashion,54.11,EUR,2025-10-15
51,Charge,sports,120.8,EUR,2025-11-23
52,Skin,home,69.84,EUR,2024-11-23
53,Chance,books,339.49,EUR,2024-06-08
54,Method,fashion,130.35,EUR,2024-04-12
55,Above,sports,469.6,EUR,2024-04-25
56,Less,electronics,20.52,EUR,2025-03-09
57,Require,fashion,299.07,EUR,2024-02-03
58,Food,books,438.35,EUR,2024-10-16
59,Treatment,fashion,283.22,EUR,2025-01-30
60,Movement,sports,289.45,EUR,2025-11-30
61,Civil,books,259.12,EUR,2025-12-04
62,Girl,fashion,285.33,EUR,2025-10-25
63,Structure,books,28.79,EUR,2024-10-06
64,Film,sports,29.75,EUR,2025-02-09
65,Trouble,fashion,36.41,EUR,2024-03-29
66,Scene,home,432.03,EUR,2025-09-01
67,Back,electronics,153.69,EUR,2025-08-31
68,Chance,fashion,158.04,EUR,2025-03-30
69,Now,electronics,210.49,EUR,2024-08-23
70,Possible,home,37.66,EUR,2025-06-06
71,Husband,sports,242.33,EUR,2025-01-16
72,Affect,fashion,239.49,EUR,2024-11-04
73,Follow,sports,281.13,EUR,2024-10-19
74,Me,home,442.53,EUR,2024-04-10
75,Forward,home,245.33,EUR,2024-07-09
76,Newspaper,fashion,100.29,EUR,2024-09-02
77,Assume,books,167.73,EUR,2024-04-12
78,Outside,home,223.3,EUR,2025-03-04
79,System,sports,356.59,EUR,2024-04-07
80,Citizen,fashion,241.02,EUR,2025-09-01
81,List,fashion,319.18,EUR,2024-08-16
82,Explain,fashion,484.17,EUR,2025-03-04
83,Usually,home,148.88,EUR,2025-04-24
84,Leg,home,136.87,EUR,2024-12-01
85,Common,electronics,339.8,EUR,2025-07-11
86,Oil,home,173.36,EUR,2024-10-03
87,Even,home,134.83,EUR,2025-01-20
88,Never,sports,303.6,EUR,2026-01-31
89,Blue,electronics,34.83,EUR,2026-01-15
90,Word,fashion,326.36,EUR,2026-01-17
91,Ability,home,481.51,EUR,2025-10-25
92,Race,electronics,192.06,EUR,2024-05-27
93,Space,electronics,377.15,EUR,2025-03-03
94,Share,fashion,165.19,EUR,2025-03-07
95,Local,electronics,396.37,EUR,2025-11-21
96,Option,fashion,61.53,EUR,2024-03-14
97,Much,sports,413.85,EUR,2025-01-27
98,Get,fashion,374.71,EUR,2024-05-02
99,Expert,books,287.71,EUR,2024-03-04
100,History,sports,280.64,EUR,2025-03-21
101,Event,fashion,376.62,EUR,2025-04-21
102,Next,sports,124.32,EUR,2025-05-03
103,Space,fashion,335.28,EUR,2025-05-17
104,Too,sports,497.05,EUR,2024-06-01
105,Ok,sports,407.28,EUR,2024-08-14
106,Special,fashion,137.08,EUR,2025-09-18
107,Thank,electronics,252.18,EUR,2025-06-09
108,Off,fashion,77.1,EUR,2024-08-25
109,Discover,electronics,115.33,EUR,2025-10-14
110,Leader,sports,251.1,EUR,2025-04-20
111,War,fashion,65.67,EUR,2024-09-01
112,Level,electronics,290.59,EUR,2024-09-21
113,Citizen,fashion,54.99,EUR,2025-01-16
114,Much,fashion,289.26,EUR,2024-10-12
115,Customer,sports,33.69,EUR,2024-10-25
116,Financial,home,33.56,EUR,2024-11-18
117,Weight,electronics,33.75,EUR,2024-11-15
118,Letter,sports,492.2,EUR,2025-12-09
119,Idea,books,238.11,EUR,2024-07-18
120,Than,electronics,11.14,EUR,2025-05-01
121,Cup,sports,125.94,EUR,2024-07-23
122,Full,sports,400.53,EUR,2024-10-24
123,Her,sports,38.8,EUR,2025-07-07
124,Second,sports,490.66,EUR,2024-03-16
125,Rule,home,63.47,EUR,2025-10-01
126,Lay,sports,307.15,EUR,2025-01-04
127,Either,home,445.13,EUR,2025-06-06
128,Financial,sports,368.83,EUR,2024-09-23
129,This,home,413.36,EUR,2025-11-18
130,Situation,fashion,124.34,EUR,2025-06-01
131,Owner,fashion,158.76,EUR,2025-09-18
132,Able,sports,295.16,EUR,2024-09-28
133,Those,electronics,87.1,EUR,2024-02-16
134,How,home,235.24,EUR,2025-07-28
135,Expect,home,182.55,EUR,2026-01-28
136,Edge,electronics,415.02,EUR,2024-07-24
137,Administration,fashion,207.69,EUR,2024-03-19
138,Risk,books,494.61,EUR,2024-02-24
139,End,books,46.45,EUR,2025-09-14
140,Sport,sports,145.45,EUR,2024-11-23
141,Give,books,332.79,EUR,2025-03-29
142,Enjoy,fashion,368.83,EUR,2024-08-20
143,Stay,electronics,413.75,EUR,2025-07-19
144,Writer,electronics,194.94,EUR,2025-04-07
145,Increase,books,253.73,EUR,2025-03-13
146,Call,electronics,223.35,EUR,2025-04-18
147,Around,electronics,39.61,EUR,2024-07-19
148,Ability,sports,435.35,EUR,2024-12-03
149,Together,home,123.25,EUR,2025-06-13
150,Will,fashion,365.34,EUR,2024-04-08
151,Executive,fashion,333.01,EUR,2025-09-17
152,Discuss,electronics,450.86,EUR,2025-10-20
153,Course,books,461.42,EUR,2025-01-23
154,Factor,fashion,48.97,EUR,2024-04-30
155,Become,books,416.41,EUR,2025-11-03
156,Hour,fashion,405.83,EUR,2024-12-19
157,Because,electronics,242.84,EUR,2025-11-03
158,Throw,home,356.88,EUR,2024-10-16
159,Work,electronics,477.53,EUR,2025-01-21
160,Site,books,258.13,EUR,2024-11-03
161,Know,electronics,398.03,EUR,2024-02-19
162,Religious,fashion,39.05,EUR,2025-03-07
163,Get,electronics,26.94,EUR,2025-03-14
164,Man,electronics,73.84,EUR,2024-02-13
165,Will,sports,286.26,EUR,2024-11-01
166,Crime,electronics,270.13,EUR,2024-09-30
167,Pressure,electronics,185.49,EUR,2024-03-29
168,Month,fashion,408.74,EUR,2024-05-05
169,Night,books,227.41,EUR,2025-04-05
170,Rule,fashion,136.22,EUR,2024-09-03
171,Which,sports,284.37,EUR,2025-03-28
172,Former,fashion,267.73,EUR,2024-05-10
173,Sister,books,99.12,EUR,2024-11-13
174,Society,electronics,189.13,EUR,2024-09-28
175,Mr,fashion,224.34,EUR,2025-05-26
176,Case,sports,163.52,EUR,2024-09-15
177,Benefit,sports,326.95,EUR,2025-07-20
178,Cup,electronics,152.87,EUR,2024-11-25
179,Home,home,457.83,EUR,2024-07-02
180,Pattern,electronics,37.51,EUR,2024-07-06
181,Both,fashion,234.6,EUR,2025-01-26
182,Body,electronics,295.77,EUR,2024-06-05
183,Difficult,home,230.26,EUR,2025-06-27
184,Buy,electronics,252.93,EUR,2025-08-06
185,Sport,home,345.22,EUR,2024-12-26
186,Page,electronics,103.72,EUR,2025-05-25
187,Huge,books,250.21,EUR,2025-10-17
188,Skin,fashion,408.11,EUR,2026-01-24
189,Study,fashion,213.32,EUR,2025-09-14
190,Network,sports,368.02,EUR,2024-12-11
191,Attorney,fashion,86.79,EUR,2025-09-13
192,Really,books,172.89,EUR,2026-01-01
193,Those,sports,361.21,EUR,2025-01-18
194,Parent,home,11.47,EUR,2024-10-11
195,Full,books,347.85,EUR,2025-06-01
196,Authority,electronics,482.46,EUR,2024-10-15
197,Interview,sports,196.45,EUR,2024-03-29
198,For,fashion,443.67,EUR,2025-04-07
199,Art,home,255.28,EUR,2025-06-03
200,Would,sports,28.05,EUR,2024-10-06
201,Player,electronics,435.37,EUR,2025-09-13
202,System,books,301.16,EUR,2025-10-18
203,However,home,320.03,EUR,2026-01-20
204,Season,home,479.6,EUR,2025-12-10
205,Movie,sports,252.57,EUR,2025-03-29
206,Range,books,401.2,EUR,2025-07-12
207,Imagine,fashion,93.96,EUR,2024-03-09
208,All,electronics,266.22,EUR,2024-03-16
209,Democrat,fashion,260.98,EUR,2025-06-12
210,Down,electronics,281.22,EUR,2024-07-12
211,Side,electronics,159.91,EUR,2025-12-04
212,Ok,home,392.05,EUR,2025-03-19
213,Would,fashion,158.23,EUR,2024-03-16
214,Deal,home,281.67,EUR,2025-01-20
215,Budget,electronics,77.14,EUR,2025-10-14
216,Day,electronics,359.61,EUR,2025-07-12
217,Indicate,fashion,401.12,EUR,2025-03-22
218,Science,books,174.58,EUR,2026-01-29
219,Traditional,home,308.42,EUR,2025-09-28
220,Something,home,143.62,EUR,2025-06-07
221,Order,fashion,344.01,EUR,2024-09-04
222,Lead,sports,409.4,EUR,2024-11-17
223,Fly,sports,135.14,EUR,2024-02-28
224,Dinner,electronics,145.0,EUR,2024-07-22
225,Audience,home,60.04,EUR,2025-03-12
226,Deep,sports,114.66,EUR,2024-07-20
227,Management,home,473.35,EUR,2024-07-01
228,Art,home,307.06,EUR,2024-09-20
229,See,electronics,462.85,EUR,2024-02-07
230,Develop,sports,404.24,EUR,2025-09-24
231,Head,books,145.5,EUR,2024-03-07
232,He,books,154.61,EUR,2025-01-09
233,State,sports,403.66,EUR,2025-07-30
234,Shake,electronics,144.97,EUR,2024-06-18
235,Have,electronics,166.68,EUR,2025-08-22
236,Ten,fashion,135.5,EUR,2025-04-07
237,Exactly,sports,475.26,EUR,2024-11-01
238,Perhaps,books,266.68,EUR,2024-05-29
239,Talk,sports,130.74,EUR,2024-02-10
240,Population,books,410.86,EUR,2025-10-29
241,Blood,home,305.95,EUR,2024-08-09
242,Example,fashion,34.94,EUR,2025-02-19
243,Simply,electronics,40.25,EUR,2025-04-08
244,Question,home,75.91,EUR,2025-08-30
245,Father,electronics,181.56,EUR,2025-08-19
246,Green,sports,474.89,EUR,2025-07-22
247,Start,sports,251.97,EUR,2024-02-13
248,Clearly,books,368.53,EUR,2025-12-14
249,Adult,home,143.81,EUR,2025-02-14
250,Member,home,199.0,EUR,2025-02-06
251,Bad,electronics,109.9,EUR,2024-04-28
252,Upon,electronics,348.52,EUR,2024-12-01
253,Degree,sports,192.47,EUR,2026-01-16
254,Action,sports,235.12,EUR,2025-11-23
255,Number,electronics,261.11,EUR,2025-11-03
256,Letter,home,83.84,EUR,2025-01-06
257,Begin,fashion,88.44,EUR,2024-03-10
258,Those,electronics,143.38,EUR,2025-11-03
259,Fight,home,321.1,EUR,2024-09-12
260,Again,sports,157.36,EUR,2024-06-30
261,Common,home,286.58,EUR,2025-12-19
